-42.574758, -92.429841, 0
-42.432555, -90.160881, 0
-42.272188, -87.602081, 0
-42.095363, -84.78069, 0
-41.908317, -81.796214, 0
-41.78428, -79.817093, 0
-41.584179, -76.62432, 0
-41.476472, -74.905762, 0
-41.334269, -72.636802, 0
-41.173902, -70.078002, 0
-40.997077, -67.256611, 0
-40.810031, -64.272135, 0
-40.685993, -62.293014, 0
-40.485893, -59.100241, 0
-40.378186, -57.381683, 0
-40.235983, -55.112723, 0
-40.075616, -52.553923, 0
-39.898791, -49.732532, 0
-39.711745, -46.748056, 0
-39.587707, -44.768935, 0
-39.387607, -41.576162, 0
-39.2799, -39.857604, 0
-39.137697, -37.588643, 0
-38.97733, -35.029844, 0
-38.800505, -32.208453, 0
-38.613459, -29.223977, 0
-38.489421, -27.244856, 0
-38.289321, -24.052083, 0
-38.181614, -22.333525, 0
-38.039411, -20.064564, 0
-37.879044, -17.505765, 0
